"fed_2012","cog2","LIBELLE","age","sex","licences","value.pop","ratio","lib_federation","id"
105,"44109","NANTES","all","f",705,150160,4.69499200852424,"Fédération Française de basketball",117
105,"44109","NANTES","60_74","h",29,12316,2.35466060409224,"Fédération Française de basketball",118
105,"44109","NANTES","10_14","all",606,13768,44.0151074956421,"Fédération Française de basketball",119
105,"44109","NANTES","45_59","h",98,22614,4.33359865570001,"Fédération Française de basketball",120
106,"44109","NANTES","0_4","h",0,8470,0,"Fédération Française de boxe",121
106,"44109","NANTES","5_9","h",24,7228,3.32042058660764,"Fédération Française de boxe",122
106,"44109","NANTES","all","all",274,284959,0.961541835843051,"Fédération Française de boxe",123
106,"44109","NANTES","75_99","f",0,15255,0,"Fédération Française de boxe",124
106,"44109","NANTES","5_9","f",1,7196,0.138966092273485,"Fédération Française de boxe",125
106,"44109","NANTES","10_14","f",4,6837,0.585051923358198,"Fédération Française de boxe",126
106,"44109","NANTES","45_59","all",15,48534,0.309061688713067,"Fédération Française de boxe",127
106,"44109","NANTES","60_74","f",1,16920,0.0591016548463357,"Fédération Française de boxe",128
106,"44109","NANTES","all","h",204,134799,1.51336434246545,"Fédération Française de boxe",129
106,"44109","NANTES","75_99","all",0,22648,0,"Fédération Française de boxe",130
106,"44109","NANTES","45_59","f",5,25920,0.192901234567901,"Fédération Française de boxe",131
106,"44109","NANTES","15_19","f",17,11317,1.50216488468675,"Fédération Française de boxe",132
106,"44109","NANTES","0_4","f",0,8001,0,"Fédération Française de boxe",133
106,"44109","NANTES","75_99","h",0,7393,0,"Fédération Française de boxe",134
106,"44109","NANTES","0_4","all",0,16471,0,"Fédération Française de boxe",135
106,"44109","NANTES","20_29","all",70,61559,1.13712048603778,"Fédération Française de boxe",136
106,"44109","NANTES","20_29","f",20,31181,0.641416247073538,"Fédération Française de boxe",137
106,"44109","NANTES","10_14","h",38,6932,5.48182342758223,"Fédération Française de boxe",138
106,"44109","NANTES","30_44","all",50,56868,0.879229091932194,"Fédération Française de boxe",139
106,"44109","NANTES","15_19","all",65,21451,3.03016176402033,"Fédération Française de boxe",140
106,"44109","NANTES","30_44","h",28,29334,0.954523760823618,"Fédération Française de boxe",141
106,"44109","NANTES","60_74","all",6,29235,0.205233453052848,"Fédération Française de boxe",142
106,"44109","NANTES","15_19","h",48,10134,4.73653049141504,"Fédération Française de boxe",143
106,"44109","NANTES","all","f",70,150160,0.466169419286095,"Fédération Française de boxe",144
106,"44109","NANTES","60_74","h",5,12316,0.4059759662228,"Fédération Française de boxe",145
106,"44109","NANTES","30_44","f",22,27534,0.79901213045689,"Fédération Française de boxe",146
106,"44109","NANTES","5_9","all",25,14424,1.73322240709928,"Fédération Française de boxe",147
106,"44109","NANTES","20_29","h",50,30378,1.64592797419185,"Fédération Française de boxe",148
106,"44109","NANTES","10_14","all",42,13768,3.05055200464846,"Fédération Française de boxe",149
